annee_universitaire,libelle_diplome_1,libelle_diplome_2,total_inscrits
2012-13,"DROIT, ECONOMIE, GESTION : GESTION, ECONOMIE ET SCIENCES SOCIALES, METIERS DE L'ENSEIGNEMENT",CAPES DE SCIENCES ECONOMIQUES ET SOCIALES,19
2012-13,"ARTS, LETTRES, LANGUES : ETUDES EUROPEENNES ET INTERNATIONALES",ETUDES FRANCO-ESPAGNOLES,19
2012-13,SCIENCES ET TECHNOLOGIES : CONCEPTION INDUSTRIALISATION RISQUE DECISION,CONCEPTION INDUSTRIALISATION INTEGRATION DES CONNAISSANCES,19
2012-13,SCIENCES HUMAINES ET SOCIALES : SCIENCES DU LANGAGE,"LEXICOGRAPHIE, TERMINOGRAPHIE, TRAITEMENT AUTOMATIQUE DES CORPUS",19
2012-13,DIPLOMES INTERNATIONAUX EN GEOGRAPHIE - BAC+2 A BAC+3,"",19
2012-13,"ECONOMIE, GESTION : MANAGEMENT",FINANCE DE MARCHE,19
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : ENVIRONNEMENT",POLLUTIONS CHIMIQUES ET GESTION ENVIRONNEMENTALE,19
2012-13,"INDUSTRIE AGRO-ALIMENTAIRE, ALIMENTATION",PRODUITS ALIMENTAIRES DU TERROIR:INNOVATION ET VALORISATION,19
2012-13,MAINTENANCE DES SYSTEMES PLURITECHNIQUES,GESTION TECHNIQUE ET ECONOMIQUE DES AGROEQUIPEMENTS,19
2012-13,AUTOMATIQUE ET INFORMATIQUE INDUSTRIELLE,CHEF DE PROJET EN AUTOMATISMES INDUSTRIELS,19
2012-13,INDUSTRIES CHIMIQUES ET PHARMACEUTIQUES,METHODES ET TECHNIQUES D'ANALYSES CHIMIQUES ET BIOLOGIQUES,19
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : INFORMATIQUE",CONDUITE DE PROJETS INFORMATIQUES,19
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : PHYSIQUE",CONTROLE ENVIRONNEMENT INDUSTRIEL,19
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : CHIMIE","SURFACES, COUCHES MINCES, NANOMATERIAUX",19
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : INGENIERIE CHIMIQUE ET BIOLOGIQUE",GENIE DES PROCEDES:ENVIRONNEMENT AGRO-ALIMENTAIRE,19
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : INFORMATIQUE, MATHEMATIQUES, MULTIMEDIA, TELECOMMUNICATIONS",MATHEMATIQUES,19
2012-13,SCIENCES HUMAINES ET SOCIALES : HISTOIRE,MEDIATION DU PATRIMOINE EN EUROPE,19
2012-13,"DROIT, ECONOMIE, GESTION : MANAGEMENT",RESSOURCES HUMAINES ET ORGANISATIONS INNOVANTES,19
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : ETHIQUE",ETHIQUE MEDICALE ET BIOETHIQUE,19
2012-13,"DROIT, ECONOMIE, GESTION : BANQUE ET MARCHES FINANCIERS",METIERS BANCAIRES,19
2012-13,SCIENCES ET TECHNOLOGIES : BIOMECANIQUE OSTEOARTICULAIRE ET TISSULAIRE (BIOST),INGENIERIE TISSULAIRE ET BIOMECANIQUE DES TISSUS,19
2012-13,SANTE,"METIERS DE L'OPTIQUE ET DE LA VISION : ASPECTS SCIENTIFIQUES, TECHNIQUES ET COMMERCIAUX",19
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES PHYSIQUES ET MATERIAUX","PHYSIQUE, PLASMAS, PHOTONIQUE",19
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : BIOLOGIE ET ENVIRONNEMENT",ENSEIGNEMENT DES SCIENCES DE LA VIE ET DE LA TERRE,19
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DES MATERIAUX",METIERS DE L'ENSEIGNEMENT EN PHYSIQUE CHIMIE,19
2012-13,STRUCTURES METALLIQUES,CONCEPTION ET REALISATION  EN CHAUDRONNERIE INDUSTRIELLE (CRCI),19
2012-13,TECHNIQUES ET ACTIVITES DE L'IMAGE ET DU SON,CONCEPTEUR EN NIVEAUX ET PERFORMANCES DE JEUX VIDEOS ET NUMERIQUES,19
2012-13,"INDUSTRIE AGRO-ALIMENTAIRE, ALIMENTATION",INGENIERIE DE LA PRODUCTION ALIMENTAIRE,19
2012-13,"ARTS, LETTRES, LANGUES : LETTRES",METIERS DU LIVRE,19
2012-13,"ARTS, LETTRES, LANGUES : LANGUES, LITTERATURES ET CIVILISATIONS ETRANGERES ET REGIONALES",ETUDES CHINOISES,19
2012-13,PLASTURGIE ET MATERIAUX COMPOSITES,"INNOVATION, DEVELOPPEMENT ET MANAGEMENT DES PROCESS",19
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : CHIMIE",SCIENCES ET GENIE DES MATERIAUX,19
2012-13,"DROIT, ECONOMIE, GESTION : DEVELOPPEMENT TERRITORIAL DURABLE",INGENIERIE DU DEVELOPPEMENT TERRITORIAL,19
2012-13,RESSOURCES DOCUMENTAIRES ET BASES DE DONNEES,"METIERS DES BIBLIOTHEQUES : GESTION, ANIMATION, DOCUMENTATION",19
2012-13,HOTELLERIE ET TOURISME,MANAGEMENT DES CENTRES DE REMISE EN FORME ET DE BIEN-ETRE PAR L'EAU,19
2012-13,"ARTS, LETTRES, LANGUES : INFORMATION ET COMMUNICATION","COMMUNICATION ECOCITOYENNE, PATRIMOINE ET DEVELOPPEMENT DURABLE",19
2012-13,"DROIT, ECONOMIE, GESTION : DROIT ET MANAGEMENT DE LA CULTURE ET DES MEDIAS",JOURNALISME JURIDIQUE,19
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : BIOLOGIE SANTE","BIOTHERAPIES TISSULAIRES, CELLULAIRES ET GENIQUES",19
2012-13,"DROIT, ECONOMIE, GESTION : FINANCE COMPTABILITE",GESTION INTERNATIONALE DE FORTUNE,19
2012-13,MASTERES SPECIALISES EN PLURI SCIENCES - BAC+5  A BAC+6 ET PLUS,"",19
2012-13,DIPLOMES D'UNIVERSITE EN STAPS - BAC+5,"",19
2012-13,SCIENCES HUMAINES ET SOCIALES : HISTOIRE,"POUVOIRS, CULTURES ET SOCIETES",19
2012-13,BATIMENT ET CONSTRUCTION,CONDUITE DE TRAVAUX EN CONSTRUCTION BOIS,19
2012-13,"SCIENCES ET TECHNOLOGIE, SANTE : INFORMATION, SYSTEMES ET TECHNOLOGIE",PHYSIQUE ET INGENIERIE DE L'ENERGIE,19
2012-13,"DROIT, ECONOMIE, GESTION : DROIT DES AFFAIRES",ASSURANCE ET BANQUE,19
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA MATIERE",RECHERCHE ET DEVELOPPEMENT EN MATERIAUX POUR L'ENERGIE,19
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : VIE ET SANTE","",19
2012-13,PRODUCTIONS ANIMALES,AQUACULTURE CONTINENTALE ET AQUARIOLOGIE,19
2012-13,RESSOURCES DOCUMENTAIRES ET BASES DE DONNEES,GESTION ET MEDIATION DE RESSOURCES DOCUMENTAIRES,19
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA PLANETE ET DE L'ENVIRONNEMENT",SURVEILLANCE ET GESTION DE L'ENVIRONNEMENT,19
2012-13,SYSTEMES INFORMATIQUES ET LOGICIELS,TECHNOLOGIE DE L'INFORMATION ET DE LA COMMUNICATION (TIC),19
2012-13,"DROIT, ECONOMIE, GESTION : MANAGEMENT",MANAGEMENT DES ENTREPRISES DE L'ECONOMIE SOCIALE,19
2012-13,"DROIT, ECONOMIE, GESTION : DROIT PUBLIC ET DROIT PRIVE",DROIT DES CONTENTIEUX,19
2012-13,"ARTS, LETTRES, LANGUES : ETUDES ANGLOPHONES",ARTS ET CULTURE VISUELLE,19
2012-13,"LANGUES, CULTURES ET SOCIETES DU MONDE : SCIENCES DU LANGAGE ET LANGUES APPLIQUEES","TRADUCTION, REDACTION ET MEDIATION MULTILINGUE",19
2012-13,"LETTRES ET LANGUES : LANGUES, LITTERATURES ET CIVILISATIONS ETRANGERES",PORTUGAIS,19
2012-13,DIPLOMES D'UNIVERSITE EN SCIENCES DE L'INFORMATION ET LA COMMUNICATION - BAC+1 A BAC+2,"",19
2012-13,SCIENCES HUMAINES ET SOCIALES : ETUDES EUROPEENNES ET INTERNATIONALES,INGENIERIE EN PROJETS EUROPEENS ET INTERNATIONAUX,19
2012-13,SCIENCES HUMAINES ET SOCIALES : PHILOSOPHIE PRATIQUE,"",19
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DU SPORT ET DU MOUVEMENT HUMAIN",OPTIMISATION DE LA PERFORMANCE SPORTIVE ET ENTRAINEMENT,19
2012-13,TECHNIQUES ET ACTIVITES DE L'IMAGE ET DU SON,JOURNALISTE REDACTEUR D'IMAGES ET DE SONS,19
2012-13,GENIE CIVIL ET CONSTRUCTION,BATIMENTS A HAUTES PERFORMANCES ENERGETIQUES,19
2012-13,SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE,AMENAGEMENT ET GESTION INTEGREE DES RESSOURCES ENVIRONNEMENTALES,19
2012-13,INDUSTRIES CHIMIQUES ET PHARMACEUTIQUES,METIERS DE LA BIOTECHNOLOGIE,19
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES ET TECHNOLOGIES DE L'INFORMATION ET DE LA COMMUNICATION -STIC",GESTION ET PILOTAGE DE LA PRODUCTION,19
2012-13,GESTION DE LA PRODUCTION INDUSTRIELLE,MESURES ET CAPTEURS INTELLIGENTS,19
2012-13,"ARTS, LETTRES, LANGUES : LETTRES ET LANGUES","EDITION, EDITION MULTIMEDIA ET REDACTION PROFESSIONNELLE",19
2012-13,ACTIVITES ET TECHNIQUES DE COMMUNICATION,PRESSE ET EDITION D'ENTREPRISE,19
2012-13,BATIMENT ET CONSTRUCTION,CONSEILLER TECHNIQUE EN ENVIRONNEMENT ET HABITAT,19
2012-13,"ARTS, LETTRES, LANGUES : CINEMA, DOCUMENTAIRE, MEDIAS","JOURNALISME, CULTURE ET COMMUNICATION SCIENTIFIQUES",19
2012-13,SCIENCES HUMAINES ET SOCIALES : URBANISME ET AMENAGEMENT,"HABITAT, POLITIQUE DE LA VILLE ET RENOUVELLEMENT URBAIN",19
2012-13,ENERGIE ET GENIE CLIMATIQUE,MANAGEMENT DES ENERGIES RENOUVELABLES,19
2012-13,MANAGEMENT DES ORGANISATIONS,GESTION DE LA PAIE ET DU SOCIAL,19
2012-13,METIERS DE L'EDITION,BIBLIOTHEQUE,19
2012-13,SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE,"SYSTEMES TERRITORIAUX, AIDE A LA DECISION, ENVIRONNEMENT (STADE)",19
2012-13,"DROIT, ECONOMIE, GESTION : MANAGEMENT",MARKETING DES PRODUITS ET SERVICES DE SANTE,19
2012-13,SCIENCES HUMAINES ET SOCIALES : HISTOIRE DE L'ART ET ARCHEOLOGIE,"MEDIATION CULTURELLE, PATRIMOINE ET NUMERIQUE",19
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : BIOLOGIE INTEGRATIVE ET AGROSCIENCES",SENSORIEL ET INNOVATION EN AGROALIMENTAIRE,19
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : BIOLOGIE-BIORESSOURCES",ANALYSE DES RISQUES DES BIOCONTAMINANTS LIES A L'ALIMENTATION HUMAINE ET ANIMALE,19
2012-13,DIPLOMES D'UNIVERSITE EN SCIENCES DE L'EDUCATION - BAC+1,"",19
2012-13,PRODUCTION INDUSTRIELLE,CONCEPTION ET REALISATION DES MACHINES SPECIALES,19
2012-13,COMMERCE,DEVELOPPEMENT ET GESTION D'UNE CLIENTELE DE PROFESSIONNELS -PRODUITS TECHNIQUES,19
2012-13,ACTIVITES ET TECHNIQUES DE COMMUNICATION,STRATEGIES ET METIERS DE L'INTERVENTION MEDIATIQUE ET SOCIALE,19
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : ELECTRONIQUE ET TECOMMUNICATIONS","SIGNAL, IMAGE, SYSTEMES EMBARQUES, AUTOMATIQUE",19
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES POUR L'ENVIRONNEMENT",GESTION DES ECOSYSTEMES ANTHROPISES,19
2012-13,"SCIENCES DES ORGANISATIONS (DROIT, ECONOMIE, GESTION, SCIENCES SOCIALES) : MANAGEMENT ET ORGANISATION",MANAGEMENT INTERCULTUREL,19
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : ELECTRONIQUE, ELECTROTECHNIQUE, AUTOMATIQUE, INFORMATIQUE INDUSTRIELLE",SYSTEMES EMBARQUES,19
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : CHIMIE",SYNTHESE ORGANIQUE ET CHIMIE DES MOLECULES BIOACTIVES,19
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : PHYSIQUE MEDICALE",RADIOPHYSIQUE MEDICALE,19
2012-13,"SCIENCES HUMAINES ET SOCIALES : EDUCATION, FORMATION, INTERVENTION SOCIALE","LOISIR, JEU, EDUCATION",19
2012-13,DIPLOMES INTERNATIONAUX EN PSYCHOLOGIE - BAC+3 A BAC+4,"",19
2012-13,MANAGEMENT DES ORGANISATIONS,MANAGEMENT DE L'AIDE A LA PERSONNE,19
2012-13,TECHNIQUES ET ACTIVITES DE L'IMAGE ET DU SON,CONCEPTION WEB ET PRODUITS MULTMEDIAS,19
2012-13,PROTECTION DE L'ENVIRONNEMENT,EAU:RESSOURCES ET INFRASTRUCTURES,19
2012-13,"DROIT, ECONOMIE, GESTION : SCIENCE POLITIQUE",CONDUIRE ET EVALUER LES POLITIQUES PUBLIQUES,19
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : EVOLUTION, PATRIMOINE NATUREL ET SOCIETES",MECANISMES DU VIVANT ET ENVIRONNEMENT,19
2012-13,DIPLOMES INTERNATIONAUX EN HISTOIRE - BAC A BAC+3,"",19
2012-13,RESSOURCES DOCUMENTAIRES ET BASES DE DONNEES,"GESTIONNAIRE DE CONTENUS EN LIGNE, DOCUMENTALISTE MULTI SUPPORTS MULTIMEDIA",19
2012-13,"DROIT, ECONOMIE, GESTION : RESSOURCES HUMAINES ET MANAGEMENT RESPONSABLE DES ORGANISATIONS",ECONOMIE SOCIALE ET SOLIDAIRE:ORGANISATION ET PROJETS,19
2012-13,GESTION DE LA PRODUCTION INDUSTRIELLE,GESTION DE PROJETS INDUSTRIELS,19
2012-13,ELECTRICITE ET ELECTRONIQUE,SYSTEMES DE TELECOMMUNICATIONS MICROONDES ET OPTIQUES,19
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE L'INGENIEUR",METIERS DE L'ENSEIGNEMENT EN PHYSIQUE-CHIMIE,19
2012-13,"DROIT, ECONOMIE, GESTION : SCIENCES DU SPORT ET SOCIETE",POLITIQUES PUBLIQUES ET STRATEGIES DES ORGANISATIONS SPORTIVES,19
2012-13,DROIT : DROIT COMPARE ET DROITS ETRANGERS,JURISTE EUROPEEN/EUROPEAN LAW SCHOOL,19
2012-13,"DROIT, ECONOMIE, GESTION : DROIT DE L'UNION EUROPEENNE",DROIT DE L'ECONOMIE ET DE LA REGULATION EN EUROPE,19
2012-13,"DROIT, ECONOMIE, GESTION : ECONOMIE ET MANAGEMENT",TRANSPORT URBAINS ET REGIONAUX DE PERSONNES,19
2012-13,"DROIT, ECONOMIE, GESTION : SCIENCES DE GESTION",SCIENCES DE L'IMMOBILIER,19
2012-13,"DROIT, ECONOMIE, GESTION : DROIT PRIVE EUROPEEN",DROIT PRIVE GENERAL ET EUROPEEN,19
2012-13,"DROIT, ECONOMIE, GESTION : SCIENCES DU MANAGEMENT",STRATEGIES ET MANAGEMENT,19
2012-13,"DROIT, ECONOMIE, GESTION : SCIENCES DU MANAGEMENT",GESTION  DES RESSOURCES HUMAINES,19
2012-13,"DROIT, ECONOMIE, GESTION : INGENIERIE ET MANAGEMENT DES ORGANISATIONS","MANAGEMENT DES ENTREPRISES DE LA SANTE, DE LA COSMETIQUE ET DE L'AGRO-ALIMENTAIRE",19
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DES MATERIAUX",PHYSIQUE ET CHIMIE DES MATERIAUX HAUTES PERFORMANCES,19
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : INFECTIOLOGIE:MICROBIOLOGIE, VIROLOGIE, IMMUNOLOGIE",VIROLOGIE,19
2012-13,"LANGUES, CULTURES ET SOCIETES DU MONDE : HISTOIRE, SOCIETES ET TERRITOIRES DU MONDE",EUROPE EURASIE,19
2012-13,"SCIENCES HUMAINES ET SOCIALES : URBANISME, AMENAGEMENT, TRANSPORTS","VILLES, SERVICES, USAGES",19
2012-13,GESTION DE LA PRODUCTION INDUSTRIELLE,GENIE INDUSTRIEL,19
2012-13,"ARTS, LETTRES, LANGUES : SCIENCES DU LANGAGE","CONTRASTIF, LEXIQUE, DISCOURS",19
2012-13,MAINTENANCE DES SYSTEMES PLURITECHNIQUES,MANAGEMENT DES SERVICES DE MAINTENANCE,19
2012-13,"DROIT, ECONOMIE, GESTION : DROIT PUBLIC ET SCIENCE POLITIQUE",METIERS DU POLITIQUE ET DE L'ADMINISTRATION,19
2012-13,MANAGEMENT DES ORGANISATIONS,COLLABORATEUR DE CABINET D'EXPERTISE COMPTABLE,19
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : GENIE CIVIL","GENIE CIVIL, MATERIAUX, STRUCTURES",19
2012-13,"DIPLOMES D'UNIVERSITE EN ELECTRONIQUE, GENIE ELECTRIQUE - BAC+3 A BAC+4","",19
2012-13,"DROIT, ECONOMIE, GESTION : DROIT INTERNATIONAL ET DROIT EUROPEEN",DROIT EUROPEEN,19
2012-13,"DROIT, ECONOMIE, GESTION : ECONOMIE APPLIQUEE","ACTION PUBLIQUE, INSTITUTIONS ET ECONOMIE SOCIALE ET SOLIDAIRE",19
2012-13,GESTION DE LA PRODUCTION INDUSTRIELLE,MANAGEMENT ET INGENIERIE DES SYSTEMES DE PRODUCTION,19
2012-13,SCIENCES HUMAINES ET SOCIALES : PHILOSOPHIE PRATIQUE,ETHIQUE MEDICALE ET HOSPITALIERE,19
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : MECANIQUE, ENERGETIQUE, GENIE CIVIL, ACOUSTIQUE",ACOUSTIQUE,19
2012-13,MANAGEMENT DES ORGANISATIONS,GESTION DES ORGANISATIONS SANITAIRES ET SOCIALES,19
2012-13,SCIENCES ET TECHNOLOGIES : PHYSIQUE,ENSEIGNEMENT ET FORMATION EN PHYSIQUE-CHIMIE,19
2012-13,ACTIVITES ET TECHNIQUES DE COMMUNICATION,"COMMUNICATION DES ENTREPRISES, DES ASSOCIATIONS ET DES COLLECTIVITES",19
2012-13,SCIENCES HUMAINES ET SOCIALES : PSYCHOLOGIE,PSYCHOPATHOLOGIE ET NEUROPSYCHOLOGIE DU VIEILLISSEMENT,19
2012-13,SCIENCES HUMAINES ET SOCIALES : SCIENCES DE L'EDUCATION ET DE LA FORMATION,METIERS ET PRATIQUES DU DEVELOPPEMENT PROFESSIONNEL,19
2012-13,"DROIT, SCIENCE POLITIQUE : JUSTICE ET PROCES",THEORIE ET PRATIQUE DU PROCES,19
2012-13,"ASSURANCE, BANQUE, FINANCE",GESTION D'ACTIFS FINANCIERS BACK ET MIDDLE OFFICES,19
2012-13,COMMERCE,DISTRIBUTION (MANAGEMENT D'EQUIPE EN UNITES DE GRANDE DISTRIBUTION),19
2012-13,"DROIT, ECONOMIE, GESTION : MARKETING ET VENTE",VENTE ET MANAGEMENT COMMERCIAL,19
2012-13,METIERS DE L'EDITION,"BIBLIOTHEQUES, MUSEES ET FONDS PATRIMONIAUX",19
2012-13,"DROIT, ECONOMIE, GESTION : DROIT DU PATRIMOINE",DROIT DE L'ACTIVITE AGRICOLE ET DE L'ESPACE RURAL,19
2012-13,SCIENCES HUMAINES ET SOCIALES : STAPS,"EXPERTISE, PERFORMANCE, INTERVENTION",19
2012-13,ACTIVITES ET TECHNIQUES DE COMMUNICATION,CHARGE DE COMMUNICATION CULTURELLE ET MULTIMEDIA,19
2012-13,SCIENCES HUMAINES ET SOCIALES : ETUDES DU DEVELOPPEMENT,DEVELOPPEMENT LOCAL:ACTEURS SOCIAUX ET DYNAMIQUES SPATIALES,19
2012-13,"DROIT, ECONOMIE, GESTION : ECONOMIE ET SOCIETE",HISTOIRE DES THEORIES ECONOMIQUES ET MANAGERIALES,19
2012-13,"DROIT, ECONOMIE, GESTION : FINANCE, CONTROLE, AUDIT",AUDIT ET CONTROLE DES ENTREPRISES INTERNATIONALES,19
2012-13,BATIMENT ET CONSTRUCTION,CHOIX CONSTRUCTIFS A QUALITE ENVIRONNEMENTALE,19
2012-13,BATIMENT ET CONSTRUCTION,ECONOMIE DE LA CONSTRUCTION EN MAITRISE D'OEUVRE,19
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : PHYSIQUE, SCIENCES POUR L'INGENIEUR",RESEAUX ET RADIOCOMMUNICATIONS AVEC LES MOBILES,19
2012-13,DROIT : DROIT INTERNATIONAL,DROIT DES RELATIONS ECONOMIQUES INTERNATIONALES,19
2012-13,"INDUSTRIE AGRO-ALIMENTAIRE, ALIMENTATION","QUALITE ET SECURITE DES ALIMENTS, DES PRODUITS BIOTECHNOLOGIQUES ET DE SANTE",19
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : BIOLOGIE INTEGRATIVE ET AGROSCIENCES","ECOLOGIE COMPORTEMENTALE, EVOLUTION ET BIODIVERSITE",19
2012-13,SYSTEMES INFORMATIQUES ET LOGICIELS,"CONCEPTION DES SYSTEMES D'INFORMATION, INTEGRATION ET DECISION",19
2012-13,SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE,"AMENAGEMENT DES TERRITOIRES, RECONVERSIONS ET RISQUES",19
2012-13,MANAGEMENT DES ORGANISATIONS,ADMINISTRATION ET GESTION DES ENTREPRISES DE L'ECONOMIE SOCIALE,19
2012-13,ONCOLOGIE OPTION ONCOLOGIE MEDICALE,"",19
2012-13,ACTIVITES ET TECHNIQUES DE COMMUNICATION,DEVELOPPEUR WEB DE SYSTEMES D'INFORMATION ET MULTIMEDIA,19
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : PREVENTION ET DECISIONS EN SANTE",EVALUATION ET PREVENTION DES RISQUES PROFESSIONNELS,19
2012-13,"DROIT, ECONOMIE, GESTION : DROIT SANITAIRE ET SOCIAL",DROIT DE L'AIDE ET DE L'ACTION SOCIALE,19
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : GENIE DES ENVIRONNEMENTS NATURELS ET INDUSTRIELS","SECURITE, QUALITE, HYGIENE ET ENVIRONNEMENT",19
2012-13,"SCIENCES ET TECHNIQUES : ASTRONOMIE, ASTROPHYSIQUE ET SCIENCES DE L'ESPACE",SCIENCES DE L'UNIVERS ET TECHNOLOGIES SPATIALES,19
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : BIOSCIENCES",BIO-INFORMATIQUE,19
2012-13,"ARTS, LETTRES, LANGUES : ETUDES ANGLOPHONES",LITTERATURES ANGLOPHONES,19
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : MEDICAMENTS ET PRODUITS DE SANTE",DEVELOPPEMENT PHARMACEUTIQUE ET FABRICATION INDUSTRIELLE DES PRODUITS DE SANTE,19
2012-13,"DROIT, ECONOMIE, GESTION : DROIT PUBLIC ET SCIENCE POLITIQUE",DROIT PUBLIC DES AFFAIRES,19
2012-13,ELECTRICITE ET ELECTRONIQUE,METIERS DE LA MESURE DE L'INSTRUMENTATION ET DES CONTROLES,19
2012-13,COMMERCE,CHARGE D'AFFAIRES EN INFORMATIQUE - COMMERCIALISATION DE SOLUTIONS INFORMATIQUES,19
2012-13,ACTIVITES ET TECHNIQUES DE COMMUNICATION,ECRITURES EN LIGNE - WEBMESTRE EDITORIAL,19
2012-13,INTERVENTION SOCIALE,INGENIERIE DES SERVICES DE PROXIMITE,19
2012-13,DIPLOMES D'UNIVERSITE EN LANGUES ET LITTERATURES ETRANGERES - BAC+1,"",19
2012-13,"ARTS, LETTRES, LANGUES : LANGUES, LITTERATURES ET CIVILISATIONS ETRANGERES",LINGUISTIQUE AVANCEE ET INTERFACES LINGUISTIQUES,19
2012-13,SYSTEMES INFORMATIQUES ET LOGICIELS,SYSTEMES D'INFORMATION GEOGRAPHIQUE,19
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : INGENIERIE, TRACABILITE ET DEVELOPPEMENT DURABLE",ASSAINISSEMENT ET DEMANTELEMENT DES INSTALLATIONS NUCLEAIRES,19
2012-13,SCIENCES HUMAINES ET SOCIALES : PHILOSOPHIE,"SOIN, ETHIQUE ET SANTE",19
2012-13,"DROIT, ECONOMIE, GESTION : DROIT DES AFFAIRES",DROIT SOCIAL,19
2012-13,SCIENCES HUMAINES ET SOCIALES : PSYCHOLOGIE,PSYCHOLOGIE DU TRAVAIL:MANAGEMENT DES RELATIONS HUMAINES ET DES COMMUNICATIONS,19
2012-13,SANTE,INSTRUMENTATION ET MAINTENANCE BIOMEDICALES,19
2012-13,SCIENCES HUMAINES ET SOCIALES : PSYCHOLOGIE,PSYCHOLOGIE DU TRAVAIL,19
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : ELECTRONIQUE, TELECOMMUNICATIONS, GEOMATIQUE",INFORMATION GEOGRAPHIQUE,19
2012-13,SYSTEMES INFORMATIQUES ET LOGICIELS,DEVELOPPEMENT D'APPLICATIONS INTRANET-INTERNET,19
2012-13,"DROIT, ECONOMIE, GESTION : GESTION DES RESSOURCES HUMAINES ET DES ORGANISATIONS",DIRECTION STRATEGIQUE DES RESSOURCES HUMAINES,19
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : INFORMATIQUE",SYSTEMES INTELLIGENTS,19
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : GEOENVIRONNEMENT",GEORISQUES,19
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DU MEDICAMENT",QUALITE DES MEDICAMENTS ET DES ALIMENTS (MASTER EUROPEEN),19
2012-13,"DROIT, ECONOMIE, GESTION : DROIT PRIVE",CONTENTIEUX JUDICIAIRE,19
2012-13,"ARTS, LETTRES, LANGUES : LANGUES, CULTURES ET INTERCULTURALITE",ETUDES SLAVES,19
2012-13,"DROIT, ECONOMIE, GESTION : DROIT DE L'ENTREPRISE",CREATIONS IMMATERIELLES,19
2012-13,ACTIVITES ET TECHNIQUES DE COMMUNICATION,MANAGEMENT DE LA COMMUNICATION,19
2012-13,"DROIT, ECONOMIE, GESTION : DROIT ET ECONOMIE",CONCURRENCE ET REGULATION DES MARCHES,19
2012-13,"ARTS, LETTRES, LANGUES : LETTRES ET CIVILISATIONS",ANGLAIS,19
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : SANTE PUBLIQUE","PHARMACOLOGIE, MODELISATION ET ESSAIS CLINIQUES",19
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : INFORMATIQUE",IMAGE ET MULTIMEDIA,19
2012-13,"DROIT, ECONOMIE, GESTION : ADMINISTRATION ECONOMIQUE ET SOCIALE",MANAGEMENT PUBLIC,19
2012-13,"SCIENCES DES ORGANISATIONS (DROIT, ECONOMIE, GESTION, SCIENCES SOCIALES) : SCIENCES DE LA SOCIETE",ETUDES ET RECHERCHES POLITIQUES ET SOCIALES,19
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : GENIE ELECTRIQUE ET INFORMATIQUE INDUSTRIELLE",RADIOCOMMUNICATIONS ET SYSTEMES ELECTRONIQUES EMBARQUES,19
2012-13,"DROIT, ECONOMIE, GESTION : DROIT PUBLIC",JURISTE DES COLLECTIVITES TERRITORIALES,19
