annee_universitaire,departement,degre_etudes,total_inscrits
2012-13,Guadeloupe,BAC + 6 et plus,1191
2012-13,Sarthe,BAC + 5,1179
2012-13,Oise,BAC + 5,1165
2012-13,La R?union,BAC + 4,1144
2012-13,Pyr?n?es-Orientales,BAC + 5,1125
2012-13,Var,BAC + 5,1100
2012-13,Pyr?n?es-Orientales,BAC + 4,1100
2012-13,Haute-Garonne,Inf?rieur ou ?gal au baccalaur?at,1098
2012-13,La R?union,BAC + 5,1079
2012-13,Haut-Rhin,BAC + 5,987
2012-13,Oise,BAC + 4,979
2012-13,Tarn,BAC + 3,969
2012-13,Morbihan,BAC + 4,942
2012-13,Haut-Rhin,BAC + 4,942
2012-13,Charente-Maritime,BAC + 4,924
2012-13,Rh?ne,Inf?rieur ou ?gal au baccalaur?at,922
2012-13,Charente-Maritime,BAC + 5,868
2012-13,Morbihan,BAC + 5,825
2012-13,Var,BAC + 4,816
2012-13,Pyr?n?es-Orientales,Inf?rieur ou ?gal au baccalaur?at,813
2012-13,Haute-Corse,BAC + 3,806
2012-13,Gard,BAC + 3,757
2012-13,Oise,BAC + 3,757
2012-13,Tarn,BAC + 2,756
2012-13,Aube,BAC + 5,751
2012-13,Bas-Rhin,Inf?rieur ou ?gal au baccalaur?at,744
2012-13,Territoire de Belfort,BAC + 3,742
2012-13,Territoire de Belfort,BAC + 5,727
2012-13,Gard,BAC + 2,684
2012-13,Aube,BAC + 3,635
2012-13,Territoire de Belfort,BAC + 4,634
2012-13,Vaucluse,BAC + 5,623
2012-13,Vaucluse,BAC + 4,619
2012-13,Puy-de-D?me,Inf?rieur ou ?gal au baccalaur?at,615
2012-13,Meurthe-et-Moselle,Inf?rieur ou ?gal au baccalaur?at,615
2012-13,Polyn?sie Fran?aise,BAC + 3,614
2012-13,Hauts-de-Seine,Inf?rieur ou ?gal au baccalaur?at,596
2012-13,Loire-Atlantique,Inf?rieur ou ?gal au baccalaur?at,595
2012-13,Polyn?sie Fran?aise,BAC + 2,578
2012-13,Haute-Corse,BAC + 2,546
2012-13,Haute-Corse,BAC + 5,520
2012-13,Aube,BAC + 4,505
2012-13,Loiret,BAC + 6 et plus,503
2012-13,Guadeloupe,Inf?rieur ou ?gal au baccalaur?at,478
2012-13,H?rault,Inf?rieur ou ?gal au baccalaur?at,469
2012-13,Seine-Saint-Denis,Inf?rieur ou ?gal au baccalaur?at,459
2012-13,Mayotte,BAC + 1,459
2012-13,Oise,BAC + 2,450
2012-13,Haute-Corse,BAC + 4,445
2012-13,Oise,BAC + 1,432
2012-13,Bouches-du-Rh?ne,Inf?rieur ou ?gal au baccalaur?at,430
2012-13,Pyr?n?es-Atlantiques,BAC + 6 et plus,425
2012-13,Nouvelle-Cal?donie,BAC + 2,414
2012-13,Seine-Maritime,Inf?rieur ou ?gal au baccalaur?at,407
2012-13,Pyr?n?es-Orientales,BAC + 6 et plus,403
2012-13,Val-d'Oise,BAC + 6 et plus,392
2012-13,Ille-et-Vilaine,Inf?rieur ou ?gal au baccalaur?at,382
2012-13,Essonne,Inf?rieur ou ?gal au baccalaur?at,381
2012-13,Haute-Vienne,Inf?rieur ou ?gal au baccalaur?at,379
2012-13,Val-de-Marne,Inf?rieur ou ?gal au baccalaur?at,378
2012-13,Alpes-Maritimes,Inf?rieur ou ?gal au baccalaur?at,366
2012-13,Nouvelle-Cal?donie,BAC + 3,357
2012-13,La R?union,BAC + 6 et plus,313
2012-13,Savoie,Inf?rieur ou ?gal au baccalaur?at,309
2012-13,Loiret,Inf?rieur ou ?gal au baccalaur?at,301
2012-13,Oise,BAC + 6 et plus,297
2012-13,Aube,BAC + 1,291
2012-13,Pas-de-Calais,Inf?rieur ou ?gal au baccalaur?at,288
2012-13,Loire,Inf?rieur ou ?gal au baccalaur?at,285
2012-13,Moselle,BAC + 5,282
2012-13,Sarthe,BAC + 6 et plus,278
2012-13,Polyn?sie Fran?aise,BAC + 4,269
2012-13,Tarn,BAC + 4,263
2012-13,Hautes-Pyr?n?es,BAC + 5,259
2012-13,Charente-Maritime,Inf?rieur ou ?gal au baccalaur?at,258
2012-13,Marne,Inf?rieur ou ?gal au baccalaur?at,255
2012-13,Var,BAC + 6 et plus,249
2012-13,Somme,Inf?rieur ou ?gal au baccalaur?at,248
2012-13,Aube,BAC + 2,246
2012-13,C?te-d'Or,Inf?rieur ou ?gal au baccalaur?at,244
2012-13,Territoire de Belfort,BAC + 1,243
2012-13,Pyr?n?es-Atlantiques,Inf?rieur ou ?gal au baccalaur?at,243
